Station_Name,Latitude,Longitude,Number of Bikes,Empty Slots,ll
11th/Congress @ The Texas Capitol,30.2726,-97.74127,3,3,"30.2726,-97.74127"
One Texas Center,30.25759,-97.74898,1,12,"30.25759,-97.74898"
East 5th/Shady @ Eastside Bus Plaza,30.25212,-97.69807,4,5,"30.25212,-97.69807"
28th/Rio Grande,30.29312,-97.74412,0,10,"30.29312,-97.74412"
22nd/Pearl,30.2854,-97.74673,0,11,"30.2854,-97.74673"
9th/Henderson,30.27217,-97.75246,5,8,"30.27217,-97.75246"
South Congress @ Bouldin Creek,30.25495,-97.74755,4,7,"30.25495,-97.74755"
South Congress/Mary,30.24496,-97.75127,4,7,"30.24496,-97.75127"
4th/Guadalupe @ Republic Square,30.26727,-97.74718,6,9,"30.26727,-97.74718"
21st/University,30.28354,-97.73953,0,18,"30.28354,-97.73953"
8th/Lavaca,30.27048,-97.74467,2,7,"30.27048,-97.74467"
2nd/Lavaca @ City Hall,30.26476,-97.74678,6,12,"30.26476,-97.74678"
Dean Keeton/Speedway,30.2896,-97.7366,3,12,"30.2896,-97.7366"
Dean Keeton/Park Place,30.28928,-97.733,6,3,"30.28928,-97.733"
Boardwalk West,30.25457,-97.74258,4,4,"30.25457,-97.74258"
Lake Austin/Enfield,30.29439,-97.78375,2,11,"30.29439,-97.78375"
Lake Austin Blvd/Deep Eddy,30.27807,-97.77272,6,5,"30.27807,-97.77272"
Red River/Cesar Chavez @ The Fairmont,30.26211,-97.73875,2,11,"30.26211,-97.73875"
Lakeshore/Austin Hostel,30.24468,-97.72311,4,10,"30.24468,-97.72311"
South Congress/Barton Springs @ The Austin American-Statesman,30.25872,-97.74614,2,11,"30.25872,-97.74614"
Sterzing/Barton Springs,30.26406,-97.76385,3,7,"30.26406,-97.76385"
8th/Congress,30.26978,-97.74224,2,9,"30.26978,-97.74224"
4th/Congress,30.26634,-97.74378,9,4,"30.26634,-97.74378"
2nd/Congress,30.26408,-97.74355,5,8,"30.26408,-97.74355"
South 1st/Riverside @ Long Center,30.25941,-97.74971,11,0,"30.25941,-97.74971"
