name,category,latitude,longitude,distance,bike_location,rating,popularity,price
G-M Steakhouse,Restaurant,30.272779,-97.753659,133,"30.27217,-97.75246",,,
Frozen Rolls Creamery,Ice Cream Parlor,30.273169,-97.753461,136,"30.27217,-97.75246",,0.9716083086053412,1.0
Prim and Proper,Cocktail Bar,30.254268,-97.74763,76,"30.25495,-97.74755",,,
Aba Austin,Bar,30.253742,-97.74785,114,"30.25495,-97.74755",8.9,0.9922769535113749,4.0
sweetgreen,Restaurant,30.253771,-97.747017,119,"30.25495,-97.74755",7.6,0.960166172106825,2.0
Freebirds World Burrito,Fast Food Restaurant,30.25592,-97.746752,129,"30.25495,-97.74755",7.8,0.9708803165182988,1.0
Gyro Delicious,Mediterranean Restaurant,30.283313,-97.74058,103,"30.28354,-97.73953",,,
Asian Kaoboy,Asian Restaurant,30.283194,-97.740581,107,"30.28354,-97.73953",,,
Greenade,Asian Restaurant,30.283194,-97.740581,107,"30.28354,-97.73953",,,
68 Degree Kitchen,Italian Restaurant,30.277957,-97.773015,25,"30.27807,-97.77272",6.6,0.9252383778437191,2.0
Deep Eddy Cabaret,Night Club,30.277682,-97.772505,27,"30.27807,-97.77272",7.7,0.9516834817012858,1.0
Pool Burger,Restaurant,30.277682,-97.772505,32,"30.27807,-97.77272",7.8,0.9503461918892186,1.0
Thundercloud Sub,Deli,30.277994,-97.771973,65,"30.27807,-97.77272",8.3,0.9654915924826905,1.0
JuiceLand,Vegan and Vegetarian Restaurant,30.277604,-97.772172,80,"30.27807,-97.77272",8.8,0.9631968348170129,2.0
"John Howard, Lpc, Lmft",Restaurant,30.278845,-97.772118,103,"30.27807,-97.77272",,,
Tumble 22,Fried Chicken Joint,30.277855,-97.771443,110,"30.27807,-97.77272",7.9,0.9930286844708209,1.0
Holla Mode Thai Style Ice Cream,Ice Cream Parlor,30.264249,-97.763682,15,"30.26406,-97.76385",6.9,0.9562650840751731,1.0
Chuy's,Tex-Mex Restaurant,30.26377,-97.763204,55,"30.26406,-97.76385",8.8,0.9958773491592483,2.0
Four Brothers,Vegan and Vegetarian Restaurant,30.263827,-97.76285,99,"30.26406,-97.76385",,,
Cannone Cucina Italiano,Pizzeria,30.263827,-97.76285,99,"30.26406,-97.76385",,,
Have A Taco,Mexican Restaurant,30.26365,-97.762898,102,"30.26406,-97.76385",,,
Acai Hut,Restaurant,30.263827,-97.76285,107,"30.26406,-97.76385",,0.37556478733926807,1.0
The Original New Orleans Po-Boy and Gumbo Shop,Cajun / Creole Restaurant,30.263598,-97.762954,111,"30.26406,-97.76385",7.4,0.1330326409495549,1.0
Mighty Fine Burgers Fries & Shakes,Burger Joint,30.26358,-97.762819,112,"30.26406,-97.76385",,,
Big Easy Bar and Grill,Restaurant,30.263501,-97.762817,117,"30.26406,-97.76385",,,
Dock & Roll Diner,Diner,30.263827,-97.76285,121,"30.26406,-97.76385",7.8,0.015897131552917904,1.0
Umlauf Sculpture Garden and Museum,Museum,30.264197,-97.76514,124,"30.26406,-97.76385",,,
Pop Art,Ice Cream Parlor,30.263402,-97.762778,126,"30.26406,-97.76385",,,
The Mighty Cone,Ice Cream Parlor,30.26358,-97.762819,380,"30.26406,-97.76385",8.0,0.6254955489614243,1.0
Daily Juice,Deli,30.263702,-97.763215,721,"30.26406,-97.76385",,0.7887161226508408,1.0
Newk's Franchise,Restaurant,30.266599,-97.743545,36,"30.26634,-97.74378",,,
The Bar At The Fish Factory,Bar,30.266273,-97.743211,41,"30.26634,-97.74378",,0.7310385756676557,2.0
Modern Market Eatery,Restaurant,30.266273,-97.743211,45,"30.26634,-97.74378",8.5,0.9790544015825915,3.0
Speakeasy,Night Club,30.266777,-97.743616,49,"30.26634,-97.74378",7.2,0.9856617210682492,
RA Sushi Bar Restaurant,Bar,30.266383,-97.744574,62,"30.26634,-97.74378",7.4,0.9828288822947576,2.0
Terrace 59,Arts and Entertainment,30.266906,-97.743803,62,"30.26634,-97.74378",,0.6218160237388725,
Swift's Attic,Gastropub,30.265611,-97.743452,73,"30.26634,-97.74378",8.0,0.9428605341246291,3.0
Houndstooth Coffee,Coffee Shop,30.266298,-97.743138,74,"30.26634,-97.74378",8.9,0.9952047477744808,1.0
