name,category,latitude,longitude,distance,bike_location,review_count,rating,popularity,price
Prim and Proper,Cocktail Bars,30.254224644988437,-97.74761894020668,80.9270645971565,"30.25495,-97.74755",37,4.5,,$$
Freebirds World Burrito,Mexican,30.25599449026257,-97.74691095991125,131.36328983447814,"30.25495,-97.74755",229,3.5,,$
Pool Burger,Tiki Bars,30.2778,-97.7725899,30.71811563383778,"30.27807,-97.77272",158,3.5,,$$
68 Degrees Kitchen,Italian,30.27786,-97.7729,30.066667103700865,"30.27807,-97.77272",149,3.5,,$$
Tumble 22,American (Traditional),30.27792537649408,-97.77173683047295,95.77027735860186,"30.27807,-97.77272",227,4.0,,$$
JuiceLand,Juice Bars & Smoothies,30.277522,-97.772221,77.51851533442482,"30.27807,-97.77272",140,4.0,,$$
Boteco,Food Trucks,30.263624,-97.763001,114.46834871910156,"30.26406,-97.76385",440,4.5,,$$
Chuy's,Tex-Mex,30.263803,-97.763323,58.12360611768655,"30.26406,-97.76385",1146,4.0,,$$
The Mighty Cone,American (Traditional),30.263598515137577,-97.76299843248755,96.55040652695105,"30.26406,-97.76385",503,3.5,,$
Baby Acapulco,Mexican,30.26306,-97.76237,178.55411491287217,"30.26406,-97.76385",631,3.5,,$$
Barton Springs Bike Rental & Tours,Bike Rentals,30.262926,-97.762963,152.169431669052,"30.26406,-97.76385",309,5.0,,$$
Coat & Thai,Thai,30.263729,-97.762849,114.46834871910156,"30.26406,-97.76385",303,4.0,,$$
Speakeasy,Speakeasies,30.266847,-97.743725,56.622674478117446,"30.26634,-97.74378",294,3.5,,$$
Red Ash,Italian,30.26588,-97.744672,100.29188528803384,"30.26634,-97.74378",1119,4.5,,$$$
Swift's Attic,American (New),30.26563,-97.74337,106.05343237959544,"30.26634,-97.74378",1147,4.0,,$$$
Mort Subite,Pubs,30.265719,-97.7439904,71.94773300380321,"30.26634,-97.74378",124,4.5,,$$
Shiner's Saloon,Bars,30.267053604126,-97.743537902832,80.22208473843129,"30.26634,-97.74378",215,4.0,,$$
Hen House,Cocktail Bars,30.2662488,-97.74459139999999,78.58238889345903,"30.26634,-97.74378",32,4.0,,
Elephant Room,Jazz & Blues,30.26563,-97.74337,106.05343238038023,"30.26634,-97.74378",479,4.0,,$$
The Capital Grille,Steakhouses,30.266178457163313,-97.74446276950118,67.98774394986337,"30.26634,-97.74378",390,4.5,,$$$
Fourth & CO,Chicken Wings,30.26699,-97.74524,158.64691387361245,"30.26634,-97.74378",50,4.0,,
Péché,Lounges,30.26699,-97.74524,158.64691387361245,"30.26634,-97.74378",1310,4.0,,$$
Out of Nowhere ATX,Food Trucks,30.26569,-97.74394,72.53806439931805,"30.26634,-97.74378",15,5.0,,
Comedor,Mexican,30.267721,-97.744204,154.69619620628953,"30.26634,-97.74378",381,4.0,,$$$
RA Sushi Bar Restaurant,Sushi Bars,30.26633,-97.74464,78.58238889345903,"30.26634,-97.74378",702,3.0,,$$
Parker Jazz Club,Jazz & Blues,30.26633,-97.74464,78.58238889467064,"30.26634,-97.74378",148,4.5,,$$
Sushi Junai Omakase,Japanese,30.265615,-97.743268,106.05343237959544,"30.26634,-97.74378",253,4.5,,
Coconut Club,Bars,30.26611,-97.74516,135.78867061007378,"30.26634,-97.74378",49,3.0,,$$$
Tacodeli,Tacos,30.265390291549227,-97.74346584218783,109.82815036604327,"30.26634,-97.74378",138,4.0,,$
Newk's Eatery,Pizza,30.2666386,-97.7436592,35.17123515769538,"30.26634,-97.74378",51,3.5,,$
Truluck's Ocean's Finest Seafood & Crab,Seafood,30.26683,-97.74502,130.2189527789531,"30.26634,-97.74378",994,4.5,,$$$
OneTaco,Tacos,30.265992,-97.742265,149.48143913305802,"30.26634,-97.74378",49,4.5,,
Edge Rooftop,Lounges,30.2643864129296,-97.7436428743045,35.219726525525566,"30.26408,-97.74355",128,4.5,,$$
Corner Restaurant,American (Traditional),30.264563,-97.743205,64.24397977949901,"30.26408,-97.74355",755,4.0,,$$
Dean's Italian Steakhouse,Steakhouses,30.26438,-97.7434,64.24397977949901,"30.26408,-97.74355",98,4.5,,
Cooper's Old Time Pit Bar-B-Que,Barbeque,30.26489,-97.74361,95.982566138245,"30.26408,-97.74355",1756,4.0,,$$
Foxy's Proper Pub,Irish,30.264078,-97.742585,92.91046089211055,"30.26408,-97.74355",58,4.0,,
Fogo De Chao - Austin,Brazilian,30.264824,-97.744512,124.01635819314477,"30.26408,-97.74355",1033,4.0,,$$$
Austin Rotisserie,Comfort Food,30.263536,-97.7435761,60.54188769671197,"30.26408,-97.74355",147,4.5,,$
Cedar Door Patio Bar & Grill,American (Traditional),30.2640756302475,-97.74259017472,92.1831428955908,"30.26408,-97.74355",606,3.5,,$$
The LINE Austin,Hotels,30.26274166951961,-97.74347132527072,149.00709604172295,"30.26408,-97.74355",266,3.0,,$$$
Henbit,American (New),30.26368,-97.74367,48.549773241141054,"30.26408,-97.74355",99,4.0,,$$
Burger Bar On Congress,Burgers,30.264768591761943,-97.7438244220892,80.9768047294716,"30.26408,-97.74355",223,3.5,,$
Fareground At One Eleven,Food Court,30.26368,-97.74367,48.549773241141054,"30.26408,-97.74355",189,4.0,,$$
Little Wu,Dim Sum,30.26374,-97.74365,48.549773241141054,"30.26408,-97.74355",44,3.5,,$$
Forthright,Cafes,30.2627385695963,-97.7431046079346,155.17250536535545,"30.26408,-97.74355",796,4.0,,$$
Tacodeli,Tacos,30.265390291549227,-97.74346584218783,145.9216242386884,"30.26408,-97.74355",138,4.0,,$
TLV Israeli Street food,Middle Eastern,30.2635186,-97.74358,62.4912184849521,"30.26408,-97.74355",187,4.5,,
Mason's Famous Lobster Rolls - Austin,Seafood,30.264626744176333,-97.74473815530227,129.29513669265953,"30.26408,-97.74355",88,4.0,,$$
Veracruz All Natural,Mexican,30.263026,-97.744452,145.74026614408263,"30.26408,-97.74355",302,4.0,,$$
