Station_Name,Latitude,Longitude,Number of Bikes,Empty Slots,ll,name,category,latitude,longitude,distance,bike_location,rating,popularity,price,review_count
11th/Congress @ The Texas Capitol,30.2726,-97.74127,3,3,"30.2726,-97.74127",Frullati Cafe,Café,30.272569,-97.74099,27.0,"30.2726,-97.74127",,,,
11th/Congress @ The Texas Capitol,30.2726,-97.74127,3,3,"30.2726,-97.74127",Blue Dalilia Bistro,Restaurant,30.272551,-97.740855,40.0,"30.2726,-97.74127",,,,
11th/Congress @ The Texas Capitol,30.2726,-97.74127,3,3,"30.2726,-97.74127",My Thai Mom,Thai Restaurant,30.272121,-97.741543,69.0,"30.2726,-97.74127",6.4,0.9213293768545994,2.0,
11th/Congress @ The Texas Capitol,30.2726,-97.74127,3,3,"30.2726,-97.74127",Old Bakery and Emporium,Bakery,30.272121,-97.741543,71.0,"30.2726,-97.74127",6.8,0.93902274975272,,
11th/Congress @ The Texas Capitol,30.2726,-97.74127,3,3,"30.2726,-97.74127",Bob the Baker,Bakery,30.272794,-97.740333,92.0,"30.2726,-97.74127",,,,
11th/Congress @ The Texas Capitol,30.2726,-97.74127,3,3,"30.2726,-97.74127",Quiznos,Fast Food Restaurant,30.271638,-97.741825,108.0,"30.2726,-97.74127",5.9,0.9483837784371908,1.0,
11th/Congress @ The Texas Capitol,30.2726,-97.74127,3,3,"30.2726,-97.74127",Emojis Grilled Cheese Bar,Restaurant,30.271688,-97.741679,108.0,"30.2726,-97.74127",,,,
11th/Congress @ The Texas Capitol,30.2726,-97.74127,3,3,"30.2726,-97.74127",Lavazza Espression,Coffee Shop,30.271392,-97.741794,135.0,"30.2726,-97.74127",6.6,0.1864688427299703,1.0,
28th/Rio Grande,30.29312,-97.74412,0,10,"30.29312,-97.74412",Nate's Kitchen,Southern / Soul Food Restaurant,30.293552,-97.743942,50.0,"30.29312,-97.74412",,,,
28th/Rio Grande,30.29312,-97.74412,0,10,"30.29312,-97.74412",Les Bobos Crepes,Creperie,30.292515,-97.743965,68.0,"30.29312,-97.74412",,,,
