Station Name,Latitude,Number_Of_Bikes,Empty Slots,ll,name,category,latitude,longitude,distance,bike_location,rating,popularity,price,review_count
9th/Henderson,30.27217,5,8,"30.27217,-97.75246",G-M Steakhouse,Restaurant,30.272779,-97.753659,133,"30.27217,-97.75246",,,,
9th/Henderson,30.27217,5,8,"30.27217,-97.75246",Frozen Rolls Creamery,Ice Cream Parlor,30.273169,-97.753461,136,"30.27217,-97.75246",,0.971608309,1,
South Congress @ Bouldin Creek,30.25495,3,8,"30.25495,-97.74755",Prim and Proper,Cocktail Bar,30.254268,-97.74763,76,"30.25495,-97.74755",,,,
South Congress @ Bouldin Creek,30.25495,3,8,"30.25495,-97.74755",Aba Austin,Bar,30.253742,-97.74785,114,"30.25495,-97.74755",8.9,0.992276954,4,
South Congress @ Bouldin Creek,30.25495,3,8,"30.25495,-97.74755",sweetgreen,Restaurant,30.253771,-97.747017,119,"30.25495,-97.74755",7.6,0.960166172,2,
South Congress @ Bouldin Creek,30.25495,3,8,"30.25495,-97.74755",Freebirds World Burrito,Fast Food Restaurant,30.25592,-97.746752,129,"30.25495,-97.74755",7.8,0.970880317,1,
21st/University,30.28354,0,18,"30.28354,-97.73953",Gyro Delicious,Mediterranean Restaurant,30.283313,-97.74058,103,"30.28354,-97.73953",,,,
21st/University,30.28354,0,18,"30.28354,-97.73953",Asian Kaoboy,Asian Restaurant,30.283194,-97.740581,107,"30.28354,-97.73953",,,,
21st/University,30.28354,0,18,"30.28354,-97.73953",Greenade,Asian Restaurant,30.283194,-97.740581,107,"30.28354,-97.73953",,,,
Lake Austin Blvd/Deep Eddy,30.27807,7,4,"30.27807,-97.77272",68 Degree Kitchen,Italian Restaurant,30.277957,-97.773015,25,"30.27807,-97.77272",6.6,0.925238378,2,
Lake Austin Blvd/Deep Eddy,30.27807,7,4,"30.27807,-97.77272",Deep Eddy Cabaret,Night Club,30.277682,-97.772505,27,"30.27807,-97.77272",7.7,0.951683482,1,
Lake Austin Blvd/Deep Eddy,30.27807,7,4,"30.27807,-97.77272",Pool Burger,Restaurant,30.277682,-97.772505,32,"30.27807,-97.77272",7.8,0.950346192,1,
Lake Austin Blvd/Deep Eddy,30.27807,7,4,"30.27807,-97.77272",Thundercloud Sub,Deli,30.277994,-97.771973,65,"30.27807,-97.77272",8.3,0.965491592,1,
Lake Austin Blvd/Deep Eddy,30.27807,7,4,"30.27807,-97.77272",JuiceLand,Vegan and Vegetarian Restaurant,30.277604,-97.772172,80,"30.27807,-97.77272",8.8,0.963196835,2,
